ECRef,RegulatedEntityName,ReportingPeriodName,RegulatedEntityType,TotalExpenditure,DateIncurred,ExpenseCategoryName,SupplierName,FullAddress,AmountInEngland,AmountInScotland,AmountInWales,AmountInNorthernIreland,DateOfClaimForPayment,DatePaid,RedactedSupportingInvoiceId,RegulatedEntityId,SupplierId,JointCampaignName,UnregisteredCampaignerName,CampaigningName,IsOutsideSection75
SP0534948,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£405.00,21/06/2019,Unsolicited material to electors,Mortons Media Group Ltd,"Media Centre, Morton Way, Horncastle, LN9 6JR, United Kingdom",£405.00,£0.00,£0.00,£0.00,25/06/2019,09/07/2019,69909.0,90,68080,,,,False
SP0534944,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£255.00,21/07/2019,Unsolicited material to electors,wedoleaflets,"6 Halkyn Road, CHESTER, CH2 3QE, United Kingdom",£255.00,£0.00,£0.00,£0.00,21/07/2019,22/07/2019,69908.0,90,75998,,,,False
SP0534940,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,859.00",18/10/2019,Unsolicited material to electors,Jey Thangiah,,"£1,859.00",£0.00,£0.00,£0.00,23/10/2019,23/10/2019,69907.0,90,68532,,,,False
SP0534938,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,068.00",07/10/2019,Unsolicited material to electors,Jey Thangiah,,"£1,068.00",£0.00,£0.00,£0.00,16/10/2019,16/10/2019,69906.0,90,68532,,,,False
SP0534937,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£435.00,01/10/2019,Unsolicited material to electors,Jey Thangiah,,£435.00,£0.00,£0.00,£0.00,05/10/2019,05/10/2019,69905.0,90,68532,,,,False
SP0534936,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,855.00",20/09/2019,Unsolicited material to electors,Mortons Media Group Ltd,"Media Centre, Morton Way, Horncastle, LN9 6JR, United Kingdom","£1,855.00",£0.00,£0.00,£0.00,14/10/2019,23/10/2019,69904.0,90,68080,,,,False
SP0534935,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£276.00,11/10/2019,Unsolicited material to electors,Lazar Print Ltd,"Unit 5a Garnett Close, Watford, WD24 7GN, United Kingdom",£276.00,£0.00,£0.00,£0.00,22/10/2019,23/10/2019,69903.0,90,68289,,,,False
SP0534933,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£574.00,01/10/2019,Unsolicited material to electors,Lazar Print Ltd,"Unit 5a Garnett Close, Watford, WD24 7GN, United Kingdom",£574.00,£0.00,£0.00,£0.00,21/10/2019,23/10/2019,69902.0,90,68289,,,,False
SP0534932,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£672.00,27/09/2019,Unsolicited material to electors,Lazar Print Ltd,"Unit 5a Garnett Close, Watford, WD24 7GN, United Kingdom",£672.00,£0.00,£0.00,£0.00,13/10/2019,13/10/2019,69901.0,90,68289,,,,False
SP0534931,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£368.00,24/09/2019,Unsolicited material to electors,Lazar Print Ltd,"Unit 5a Garnett Close, Watford, WD24 7GN, United Kingdom",£368.00,£0.00,£0.00,£0.00,03/10/2019,09/10/2019,69900.0,90,68289,,,,False
SP0534930,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£565.00,23/09/2019,Unsolicited material to electors,Lazar Print Ltd,"Unit 5a Garnett Close, Watford, WD24 7GN, United Kingdom",£565.00,£0.00,£0.00,£0.00,03/10/2019,09/10/2019,69899.0,90,68289,,,,False
SP0534910,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£271.13,05/08/2019,Unsolicited material to electors,North Yorkshire Printing Services Ltd,"Unit 12A Victoria Farm Estate, Water Lane, Clifton, York, YO3 6PQ, United Kingdom",£271.13,£0.00,£0.00,£0.00,05/08/2019,11/09/2019,69898.0,90,68326,,,,False
SP0534909,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£2,742.00",01/11/2019,Unsolicited material to electors,Park Communications Ltd,"Alpine Way, London, E6 6LA, United Kingdom","£2,742.00",£0.00,£0.00,£0.00,29/11/2019,19/12/2019,69897.0,90,68290,,,,False
SP0534905,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£466.15,30/08/2019,Unsolicited material to electors,A.G.A Print Ltd t/a Solopress,"9-1 Stock Road, SOUTHEND-ON-SEA, SS2 5QF, United Kingdom",£466.15,£0.00,£0.00,£0.00,30/08/2019,30/08/2019,69896.0,90,75940,,,,False
SP0534904,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£14,341.86",04/11/2019,Unsolicited material to electors,Park Communications Ltd,"Alpine Way, London, E6 6LA, United Kingdom","£14,341.86",£0.00,£0.00,£0.00,12/11/2019,25/11/2019,69895.0,90,68290,,,,False
SP0534903,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£600.00,06/11/2019,Overheads and general administration,Stuart Lawrence,,£600.00,£0.00,£0.00,£0.00,19/11/2019,06/11/2019,69894.0,90,75992,,,,False
SP0534902,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£279.89,05/11/2019,Advertising,Facebook Ireland Limited,"4 Grand Canal Square, Dublin 2, ZZ0 0ZZ, Ireland, The Republic of",£279.89,£0.00,£0.00,£0.00,14/11/2019,14/11/2019,69893.0,90,68287,,,,False
SP0534901,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£300.00,06/11/2019,Advertising,Facebook Ireland Limited,"4 Grand Canal Square, Dublin 2, ZZ0 0ZZ, Ireland, The Republic of",£300.00,£0.00,£0.00,£0.00,06/11/2019,06/11/2019,69892.0,90,68287,,,,False
SP0534900,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£300.00,06/11/2019,Advertising,Facebook Ireland Limited,"4 Grand Canal Square, Dublin 2, ZZ0 0ZZ, Ireland, The Republic of",£300.00,£0.00,£0.00,£0.00,06/11/2019,06/11/2019,69891.0,90,68287,,,,False
SP0534899,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£300.00,06/11/2019,Advertising,Facebook Ireland Limited,"4 Grand Canal Square, Dublin 2, ZZ0 0ZZ, Ireland, The Republic of",£300.00,£0.00,£0.00,£0.00,06/11/2019,06/11/2019,69890.0,90,68287,,,,False
SP0534898,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£300.00,05/11/2019,Advertising,Facebook Ireland Limited,"4 Grand Canal Square, Dublin 2, ZZ0 0ZZ, Ireland, The Republic of",£300.00,£0.00,£0.00,£0.00,05/11/2019,05/11/2019,69889.0,90,68287,,,,False
SP0534897,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£300.00,03/11/2019,Advertising,Facebook Ireland Limited,"4 Grand Canal Square, Dublin 2, ZZ0 0ZZ, Ireland, The Republic of",£300.00,£0.00,£0.00,£0.00,03/11/2019,03/11/2019,69888.0,90,68287,,,,False
SP0534895,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£300.00,30/10/2019,Advertising,Facebook Ireland Limited,"4 Grand Canal Square, Dublin 2, ZZ0 0ZZ, Ireland, The Republic of",£300.00,£0.00,£0.00,£0.00,30/10/2019,30/10/2019,69887.0,90,68287,,,,False
SP0534894,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£221.41,24/10/2019,Advertising,Facebook Ireland Limited,"4 Grand Canal Square, Dublin 2, ZZ0 0ZZ, Ireland, The Republic of",£221.41,£0.00,£0.00,£0.00,24/10/2019,24/10/2019,69886.0,90,68287,,,,False
SP0534878,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£960.00,01/10/2019,Advertising,Shropshire Publishing Ltd,"5 Winterton Way, Bicton Heath, SHREWSBURY, SY3 5PA, United Kingdom",£960.00,£0.00,£0.00,£0.00,24/10/2019,15/11/2019,69885.0,90,75987,,,,False
SP0534877,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£456.00,31/10/2019,Unsolicited material to electors,Sharman & Company Ltd,"Newark Rd, Eastern Industry, Peterborough, Cambridgeshire, PE1 5TD, United Kingdom",£456.00,£0.00,£0.00,£0.00,31/10/2019,25/11/2019,69884.0,90,68405,,,,False
SP0534870,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,400.00",31/10/2019,Unsolicited material to electors,Direct Colour Ltd,"Unit 1-2, Chessington Trade Park, 6 Cox Lane, CHESSINGTON, KT9 1TW, United Kingdom","£1,400.00",£0.00,£0.00,£0.00,01/11/2019,06/11/2019,69883.0,90,68505,,,,False
SP0534866,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,190.00",04/11/2019,Unsolicited material to electors,Post Office Ltd,"20 Finsbury Street , 2 Finsbury Street, London, EC2Y 9AQ, United Kingdom","£1,190.00",£0.00,£0.00,£0.00,04/11/2019,04/11/2019,69882.0,90,54151,,,,False
SP0534865,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£600.00,04/11/2019,Overheads and general administration,McLatchie Consultancy Services,"1 St Mary's Road, Long Ditton, Surbiton, KT6 5EU, United Kingdom",£600.00,£0.00,£0.00,£0.00,04/11/2019,06/11/2019,69881.0,90,75982,,,,False
SP0534863,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£2,700.00",01/11/2019,Advertising,Promogroup Ltd,"Unit 8, River Reach, Gartons Way, London, SW11 3SX, United Kingdom","£2,700.00",£0.00,£0.00,£0.00,01/11/2019,01/11/2019,69880.0,90,75981,,,,False
SP0534862,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£3,810.00",31/10/2019,Market research/canvassing,Survation Ltd,"1 Brandon Road, 101 Commercial Road, London, N7 9AA, United Kingdom","£3,810.00",£0.00,£0.00,£0.00,31/10/2019,31/10/2019,69879.0,90,68299,,,,False
SP0534859,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,691.00",25/11/2019,Unsolicited material to electors,Letter Workshop Limited t/a Election Workshop,"Unit 3, Sheffield Street, MANCHESTER, MANCHESTER, M1 2ND, United Kingdom","£1,691.00",£0.00,£0.00,£0.00,02/12/2019,12/12/2019,69878.0,90,68079,,,,False
SP0534857,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,691.00",25/11/2019,Unsolicited material to electors,Letter Workshop Limited t/a Election Workshop,"Unit 3, Sheffield Street, MANCHESTER, MANCHESTER, M1 2ND, United Kingdom","£1,691.00",£0.00,£0.00,£0.00,02/12/2019,12/12/2019,69877.0,90,68079,,,,False
SP0534852,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£776.16,22/10/2019,Advertising,A W Champion Ltd,"Champion House, Burlington Road, New Malden, KT3 4NB, United Kingdom",£776.16,£0.00,£0.00,£0.00,22/10/2019,22/10/2019,69876.0,90,75978,,,,False
SP0534851,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£432.00,20/10/2019,Market research/canvassing,SmartSurvey Ltd,"Basepoint Business Centre, Oakfield Close, Tewkesbury, GL2 8SD, United Kingdom",£432.00,£0.00,£0.00,£0.00,20/10/2019,22/10/2019,69875.0,90,75977,,,,False
SP0534845,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,995.00",27/09/2019,Advertising,Liberal Democrat Image,"24 Cheyne Way, FARNBOROUGH, GU14 8RX, United Kingdom","£1,995.00",£0.00,£0.00,£0.00,27/09/2019,12/10/2019,69874.0,90,75294,,,,False
SP0534842,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£3,499.98",31/10/2019,Advertising,Stannp Ltd,"Unit 12 Taw Trade Park, Braunton Road, Barnstaple, EX31 1JZ, United Kingdom","£3,499.98",£0.00,£0.00,£0.00,31/10/2019,01/11/2019,69873.0,90,68371,,,,False
SP0534841,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£249.00,20/09/2019,Unsolicited material to electors,Jey Thangiah,,£249.00,£0.00,£0.00,£0.00,29/09/2019,29/09/2019,69872.0,90,68532,,,,False
SP0534839,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,428.00",26/08/2019,Unsolicited material to electors,Jey Thangiah,,"£1,428.00",£0.00,£0.00,£0.00,09/09/2019,09/09/2019,69871.0,90,68532,,,,False
SP0534838,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£261.00,16/09/2019,Unsolicited material to electors,Lazar Print Ltd,"Unit 5a Garnett Close, Watford, WD24 7GN, United Kingdom",£261.00,£0.00,£0.00,£0.00,26/09/2019,28/09/2019,69870.0,90,68289,,,,False
SP0534837,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£444.00,16/09/2019,Unsolicited material to electors,Lazar Print Ltd,"Unit 5a Garnett Close, Watford, WD24 7GN, United Kingdom",£444.00,£0.00,£0.00,£0.00,26/09/2019,28/09/2019,69869.0,90,68289,,,,False
SP0534836,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£279.00,03/09/2019,Unsolicited material to electors,Lazar Print Ltd,"Unit 5a Garnett Close, Watford, WD24 7GN, United Kingdom",£279.00,£0.00,£0.00,£0.00,16/09/2019,24/09/2019,69868.0,90,68289,,,,False
SP0534835,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£264.00,02/09/2019,Unsolicited material to electors,Lazar Print Ltd,"Unit 5a Garnett Close, Watford, WD24 7GN, United Kingdom",£264.00,£0.00,£0.00,£0.00,16/09/2019,24/09/2019,69867.0,90,68289,,,,False
SP0534834,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£255.00,17/09/2019,Unsolicited material to electors,Lazar Print Ltd,"Unit 5a Garnett Close, Watford, WD24 7GN, United Kingdom",£255.00,£0.00,£0.00,£0.00,24/09/2019,24/09/2019,69866.0,90,68289,,,,False
SP0534833,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£279.00,16/09/2019,Unsolicited material to electors,Lazar Print Ltd,"Unit 5a Garnett Close, Watford, WD24 7GN, United Kingdom",£279.00,£0.00,£0.00,£0.00,24/09/2019,24/09/2019,69865.0,90,68289,,,,False
SP0534831,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£330.00,30/08/2019,Unsolicited material to electors,Lazar Print Ltd,"Unit 5a Garnett Close, Watford, WD24 7GN, United Kingdom",£330.00,£0.00,£0.00,£0.00,10/09/2019,16/09/2019,69864.0,90,68289,,,,False
SP0534830,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£267.00,17/08/2019,Unsolicited material to electors,Lazar Print Ltd,"Unit 5a Garnett Close, Watford, WD24 7GN, United Kingdom",£267.00,£0.00,£0.00,£0.00,24/08/2019,16/09/2019,69863.0,90,68289,,,,False
SP0534829,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£583.29,24/07/2019,Unsolicited material to electors,Cassio Liberal Print,"6 Hillcroft Crescent, Watford, WD19 4NY, United Kingdom",£583.29,£0.00,£0.00,£0.00,06/09/2019,07/09/2019,69862.0,90,68536,,,,False
SP0534828,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£231.90,24/08/2019,Advertising,Facebook Ireland Limited,"4 Grand Canal Square, Dublin 2, ZZ0 0ZZ, Ireland, The Republic of",£231.90,£0.00,£0.00,£0.00,31/08/2019,31/08/2019,69861.0,90,68287,,,,False
SP0534823,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£356.40,22/07/2019,Advertising,Irec Multimedia Ltd,"Flat 5, Burberry Court, 19 Harwoods Road, Not supplied, WD18 7RH, United Kingdom",£356.40,£0.00,£0.00,£0.00,19/08/2019,20/08/2019,69860.0,90,75975,,,,False
SP0534821,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£258.00,02/08/2019,Unsolicited material to electors,Lazar Print Ltd,"Unit 5a Garnett Close, Watford, WD24 7GN, United Kingdom",£258.00,£0.00,£0.00,£0.00,19/08/2019,19/08/2019,69859.0,90,68289,,,,False
SP0534819,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£450.00,02/08/2019,Unsolicited material to electors,Lazar Print Ltd,"Unit 5a Garnett Close, Watford, WD24 7GN, United Kingdom",£450.00,£0.00,£0.00,£0.00,19/08/2019,19/08/2019,69858.0,90,68289,,,,False
SP0534817,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£494.00,02/08/2019,Unsolicited material to electors,Lazar Print Ltd,"Unit 5a Garnett Close, Watford, WD24 7GN, United Kingdom",£494.00,£0.00,£0.00,£0.00,14/08/2019,19/08/2019,69857.0,90,68289,,,,False
SP0534815,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£279.00,02/08/2019,Unsolicited material to electors,Lazar Print Ltd,"Unit 5a Garnett Close, Watford, WD24 7GN, United Kingdom",£279.00,£0.00,£0.00,£0.00,14/08/2019,19/08/2019,69856.0,90,68289,,,,False
SP0534804,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£459.00,15/06/2019,Rallies and other events,Jane Wilde Catering,,£459.00,£0.00,£0.00,£0.00,15/06/2019,21/06/2019,69855.0,90,75974,,,,False
SP0534800,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,039.50",12/07/2019,Unsolicited material to electors,Jey Thangiah,,"£1,039.50",£0.00,£0.00,£0.00,20/07/2019,20/07/2019,69854.0,90,68532,,,,False
SP0534795,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,386.00",01/07/2019,Unsolicited material to electors,Mortons Media Group Ltd,"Media Centre, Morton Way, Horncastle, LN9 6JR, United Kingdom","£1,386.00",£0.00,£0.00,£0.00,17/07/2019,27/07/2019,69853.0,90,68080,,,,False
SP0534793,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£685.80,30/04/2019,Unsolicited material to electors,Jey Thangiah,,£685.80,£0.00,£0.00,£0.00,03/05/2019,03/05/2019,69852.0,90,68532,,,,False
SP0534791,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£2,250.00",30/05/2019,Unsolicited material to electors,Lazar Print Ltd,"Unit 5a Garnett Close, Watford, WD24 7GN, United Kingdom","£2,250.00",£0.00,£0.00,£0.00,20/06/2019,22/06/2019,69851.0,90,68289,,,,False
SP0534788,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£492.45,22/05/2019,Unsolicited material to electors,LELA Information Services,"44 Havelock Road, LUTON, LU2 7PR, United Kingdom",£492.45,£0.00,£0.00,£0.00,30/05/2019,31/05/2019,69850.0,90,68346,,,,False
SP0534787,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£801.00,14/10/2019,Unsolicited material to electors,LELA Information Services,"44 Havelock Road, LUTON, LU2 7PR, United Kingdom",£801.00,£0.00,£0.00,£0.00,05/11/2019,05/11/2019,69849.0,90,68346,,,,False
SP0534786,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£655.00,01/08/2019,Unsolicited material to electors,CopyKatz Ltd,"36 Singer Way, Woburn Road Industrial Estate, Kempston, BEDFORD, BEDFORD, MK42 7AF, United Kingdom",£655.00,£0.00,£0.00,£0.00,14/08/2019,15/08/2019,69848.0,90,75966,,,,False
SP0534784,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£366.00,22/07/2019,Unsolicited material to electors,CopyKatz Ltd,"36 Singer Way, Woburn Road Industrial Estate, Kempston, BEDFORD, BEDFORD, MK42 7AF, United Kingdom",£366.00,£0.00,£0.00,£0.00,31/07/2019,02/08/2019,69847.0,90,75966,,,,False
SP0534783,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£284.88,12/08/2019,Unsolicited material to electors,LELA Information Services,"44 Havelock Road, LUTON, LU2 7PR, United Kingdom",£284.88,£0.00,£0.00,£0.00,21/08/2019,21/08/2019,69846.0,90,68346,,,,False
SP0534777,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£473.22,27/07/2019,Unsolicited material to electors,A.G.A Print Ltd t/a Solopress,"9-1 Stock Road, SOUTHEND-ON-SEA, SS2 5QF, United Kingdom",£473.22,£0.00,£0.00,£0.00,27/07/2019,27/07/2019,69845.0,90,75940,,,,False
SP0534776,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£360.58,16/06/2019,Advertising,TS Foundry Ltd t/a Streetshirts,"T S Foundry Ltd, Unit 19, Wavell Drive, LINCOLN, LN3 4PL, United Kingdom",£360.58,£0.00,£0.00,£0.00,16/06/2019,16/06/2019,69844.0,90,75971,,,,False
SP0534775,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,397.35",05/06/2019,Unsolicited material to electors,A.G.A Print Ltd t/a Solopress,"9-1 Stock Road, SOUTHEND-ON-SEA, SS2 5QF, United Kingdom","£1,397.35",£0.00,£0.00,£0.00,05/06/2019,05/06/2019,69843.0,90,75940,,,,False
SP0534772,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£435.00,14/02/2019,Unsolicited material to electors,Jey Thangiah,,£435.00,£0.00,£0.00,£0.00,23/02/2019,23/02/2019,69842.0,90,68532,,,,False
SP0534769,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,370.00",01/01/2019,Unsolicited material to electors,Mortons Media Group Ltd,"Media Centre, Morton Way, Horncastle, LN9 6JR, United Kingdom","£1,370.00",£0.00,£0.00,£0.00,08/01/2019,25/02/2019,69841.0,90,68080,,,,False
SP0534768,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,470.00",10/01/2019,Unsolicited material to electors,Jey Thangiah,,"£1,470.00",£0.00,£0.00,£0.00,19/01/2019,19/01/2019,69840.0,90,68532,,,,False
SP0534767,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£239.00,18/02/2019,Unsolicited material to electors,Bendart Ltd t/a Blackwell Print,"Charles Street, GREAT YARMOUTH, GREAT YARMOUTH, NR3 3LA, United Kingdom",£239.00,£0.00,£0.00,£0.00,18/02/2019,08/04/2019,69839.0,90,75969,,,,False
SP0534765,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£748.00,02/01/2019,Unsolicited material to electors,Letter Workshop Limited t/a Election Workshop,"Unit 3, Sheffield Street, MANCHESTER, MANCHESTER, M1 2ND, United Kingdom",£748.00,£0.00,£0.00,£0.00,10/01/2019,01/02/2019,69838.0,90,68079,,,,False
SP0534763,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£297.00,25/01/2019,Unsolicited material to electors,A.G.A Print Ltd t/a Solopress,"9-1 Stock Road, SOUTHEND-ON-SEA, SS2 5QF, United Kingdom",£297.00,£0.00,£0.00,£0.00,25/01/2019,19/02/2019,69837.0,90,75940,,,,False
SP0534761,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,518.30",02/01/2019,Unsolicited material to electors,Cassio Liberal Print,"6 Hillcroft Crescent, Watford, WD19 4NY, United Kingdom","£1,518.30",£0.00,£0.00,£0.00,24/01/2019,26/01/2019,69836.0,90,68536,,,,False
SP0534759,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£276.00,26/11/2018,Unsolicited material to electors,Lazar Print Ltd,"Unit 5a Garnett Close, Watford, WD24 7GN, United Kingdom",£276.00,£0.00,£0.00,£0.00,29/11/2018,23/01/2019,69835.0,90,68289,,,,False
SP0534758,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£253.00,10/12/2018,Unsolicited material to electors,Lazar Print Ltd,"Unit 5a Garnett Close, Watford, WD24 7GN, United Kingdom",£253.00,£0.00,£0.00,£0.00,15/12/2018,23/01/2019,69834.0,90,68289,,,,False
SP0534757,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£378.00,11/12/2018,Unsolicited material to electors,Jey Thangiah,,£378.00,£0.00,£0.00,£0.00,17/12/2018,17/12/2018,69833.0,90,68532,,,,False
SP0534756,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£257.00,22/07/2019,Unsolicited material to electors,CopyKatz Ltd,"36 Singer Way, Woburn Road Industrial Estate, Kempston, BEDFORD, BEDFORD, MK42 7AF, United Kingdom",£257.00,£0.00,£0.00,£0.00,26/07/2019,30/07/2019,69832.0,90,75966,,,,False
SP0534754,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£461.00,01/07/2019,Unsolicited material to electors,Fleur Graphics,"33 Clarence Road, Weymouth, DT4 9EF, United Kingdom",£461.00,£0.00,£0.00,£0.00,05/07/2019,15/08/2019,69831.0,90,68582,,,,False
SP0534752,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£12,931.33",31/10/2019,Unsolicited material to electors,Stannp Ltd,"Unit 12 Taw Trade Park, Braunton Road, Barnstaple, EX31 1JZ, United Kingdom","£12,931.33",£0.00,£0.00,£0.00,31/10/2019,09/01/2020,69830.0,90,68371,,,,False
SP0534750,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£8,160.00",23/10/2019,Unsolicited material to electors,London Letterbox Marketing,"Lbox Communications, Richmond Bridge House, 419 Richmond Road, TWICKENHAM, TW1 2EX, United Kingdom","£8,160.00",£0.00,£0.00,£0.00,23/10/2019,09/01/2020,69829.0,90,75312,,,,False
SP0534749,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£2,410.00",22/10/2019,Unsolicited material to electors,cheapest print online,"Sandown Court, Station Road, Glenfield, Leicestershire, Leicestershire, LE3 8BT, United Kingdom","£2,410.00",£0.00,£0.00,£0.00,22/10/2019,09/01/2020,69828.0,90,75949,,,,False
SP0534748,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£216.00,21/10/2019,Rallies and other events,Barbican Centre,"Barbican Centre For Arts & Conferences, Silk Street, Barbican, LONDON, EC2Y 8DS, United Kingdom",£216.00,£0.00,£0.00,£0.00,21/10/2019,09/01/2020,69827.0,90,75963,,,,False
SP0534747,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£3,600.00",21/10/2019,Rallies and other events,Barbican Centre,"Barbican Centre For Arts & Conferences, Silk Street, Barbican, LONDON, EC2Y 8DS, United Kingdom","£3,600.00",£0.00,£0.00,£0.00,21/10/2019,09/01/2020,69826.0,90,75963,,,,False
SP0534746,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£210.00,18/10/2019,Rallies and other events,Museum of London,"15 London Wall, Barbican, London, EC2Y 5HN, United Kingdom",£210.00,£0.00,£0.00,£0.00,18/10/2019,09/01/2020,69825.0,90,75958,,,,False
SP0534745,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,800.00",17/10/2019,Rallies and other events,Museum of London,"15 London Wall, Barbican, London, EC2Y 5HN, United Kingdom","£1,800.00",£0.00,£0.00,£0.00,17/10/2019,09/01/2020,69824.0,90,75958,,,,False
SP0534742,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£277.00,16/10/2019,Unsolicited material to electors,cheapest print online,"Sandown Court, Station Road, Glenfield, Leicestershire, Leicestershire, LE3 8BT, United Kingdom",£277.00,£0.00,£0.00,£0.00,16/10/2019,09/01/2020,69823.0,90,75949,,,,False
SP0534741,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,020.00",18/10/2019,Unsolicited material to electors,London Letterbox Marketing,"Lbox Communications, Richmond Bridge House, 419 Richmond Road, TWICKENHAM, TW1 2EX, United Kingdom","£1,020.00",£0.00,£0.00,£0.00,18/10/2019,09/01/2020,69822.0,90,75312,,,,False
